[Gene ID]	[source_id]	[Gene Name or Symbol]	[Curated GO Processes]	[Curated GO Process IDs]	[EC numbers]	[Organism]	[Computed GO Process IDs]	[Computed GO Processes]	
CNAG_00023	CNAG_00023-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00024	CNAG_00024-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00024	CNAG_00024-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00024	CNAG_00024-t26_3	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00025	CNAG_00025-t26_1	VCX1	pathogenesis, response to calcium ion	GO:0009405, GO:0051592	N/A	C. neoformans var. grubii H99	GO:0055085	transmembrane transport	
CNAG_00025	CNAG_00025-t26_2	VCX1	pathogenesis, response to calcium ion	GO:0009405, GO:0051592	N/A	C. neoformans var. grubii H99	GO:0055085	transmembrane transport	
CNAG_00026	CNAG_00026-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0009058	biosynthetic process	
CNAG_00026	CNAG_00026-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0009058	biosynthetic process	
CNAG_00027	CNAG_00027-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006355	regulation of transcription, DNA-templated	
CNAG_00028	CNAG_00028-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055085	transmembrane transport	
CNAG_00028	CNAG_00028-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055085	transmembrane transport	
CNAG_00029	CNAG_00029-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0008152, GO:0055114	metabolic process, oxidation-reduction process	
CNAG_00030	CNAG_00030-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00030	CNAG_00030-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00031	CNAG_00031-t26_1	MLR1	melanin biosynthetic process	GO:0042438	N/A	C. neoformans var. grubii H99	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	
CNAG_00031	CNAG_00031-t26_2	MLR1	melanin biosynthetic process	GO:0042438	N/A	C. neoformans var. grubii H99	GO:0006355, GO:0006351	regulation of transcription, DNA-templated, transcription, DNA-templated	
CNAG_00032	CNAG_00032-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00033	CNAG_00033-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00034	CNAG_00034-t26_1	RPL9B	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006412	translation	
CNAG_00035	CNAG_00035-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006355	regulation of transcription, DNA-templated	
CNAG_00036	CNAG_00036-t26_1	SEC14-2	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00038	CNAG_00038-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055114	oxidation-reduction process	
CNAG_00039	CNAG_00039-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00040	CNAG_00040-t26_1	ERG11	response to drug	GO:0042493	N/A	C. neoformans var. grubii H99	GO:0055114	oxidation-reduction process	
CNAG_00043	CNAG_00043-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00043	CNAG_00043-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00044	CNAG_00044-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00045	CNAG_00045-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00046	CNAG_00046-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00047	CNAG_00047-t26_1	PKP1	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00048	CNAG_00048-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055085	transmembrane transport	
CNAG_00049	CNAG_00049-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00050	CNAG_00050-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0009264	deoxyribonucleotide catabolic process	
CNAG_00051	CNAG_00051-t26_1	SNT1	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00051	CNAG_00051-t26_2	SNT1	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00052	CNAG_00052-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00053	CNAG_00053-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00054	CNAG_00054-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00055	CNAG_00055-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00056	CNAG_00056-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00057	CNAG_00057-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0005975	carbohydrate metabolic process	
CNAG_00058	CNAG_00058-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0044267, GO:0006457	cellular protein metabolic process, protein folding	
CNAG_00059	CNAG_00059-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00060	CNAG_00060-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006457	protein folding	
CNAG_00060	CNAG_00060-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006457	protein folding	
CNAG_00061	CNAG_00061-t26_1	CIT1	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0044262	cellular carbohydrate metabolic process	
CNAG_00062	CNAG_00062-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0042176	regulation of protein catabolic process	
CNAG_00063	CNAG_00063-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00064	CNAG_00064-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006810	transport	
CNAG_00065	CNAG_00065-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0046907	intracellular transport	
CNAG_00066	CNAG_00066-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00067	CNAG_00067-t26_1	SSS1	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006886, GO:0006605, GO:0015031	intracellular protein transport, protein targeting, protein transport	
CNAG_00068	CNAG_00068-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00069	CNAG_00069-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00070	CNAG_00070-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00072	CNAG_00072-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0045454	cell redox homeostasis	
CNAG_00073	CNAG_00073-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00074	CNAG_00074-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00075	CNAG_00075-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00076	CNAG_00076-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006281, GO:0006284	DNA repair, base-excision repair	
CNAG_00077	CNAG_00077-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0008272, GO:0055085	sulfate transport, transmembrane transport	
CNAG_00078	CNAG_00078-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0008272	sulfate transport	
CNAG_00079	CNAG_00079-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00080	CNAG_00080-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00081	CNAG_00081-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006396, GO:0000398	RNA processing, mRNA splicing, via spliceosome	
CNAG_00082	CNAG_00082-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00083	CNAG_00083-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00084	CNAG_00084-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006425, GO:0043039, GO:0006418, GO:0006412	glutaminyl-tRNA aminoacylation, tRNA aminoacylation, tRNA aminoacylation for protein translation, translation	
CNAG_00085	CNAG_00085-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006333	chromatin assembly or disassembly	
CNAG_00086	CNAG_00086-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0008033	tRNA processing	
CNAG_00087	CNAG_00087-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00088	CNAG_00088-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00089	CNAG_00089-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00090	CNAG_00090-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00090	CNAG_00090-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00091	CNAG_00091-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00092	CNAG_00092-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006850	mitochondrial pyruvate transport	
CNAG_00093	CNAG_00093-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00094	CNAG_00094-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00095	CNAG_00095-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00096	CNAG_00096-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00097	CNAG_00097-t26_1	ITR1	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055085	transmembrane transport	
CNAG_00098	CNAG_00098-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006464	cellular protein modification process	
CNAG_00099	CNAG_00099-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006260	DNA replication	
CNAG_00100	CNAG_00100-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00101	CNAG_00101-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00104	CNAG_00104-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00105	CNAG_00105-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00106	CNAG_00106-t26_1	TCO5	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0000160, GO:0007165	phosphorelay signal transduction system, signal transduction	
CNAG_00107	CNAG_00107-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00108	CNAG_00108-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00109	CNAG_00109-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006412	translation	
CNAG_00109	CNAG_00109-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006412	translation	
CNAG_00110	CNAG_00110-t26_1	HPI3	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0030036	actin cytoskeleton organization	
CNAG_00111	CNAG_00111-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006396	RNA processing	
CNAG_00115	CNAG_00115-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055114	oxidation-reduction process	
CNAG_00116	CNAG_00116-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006412	translation	
CNAG_00117	CNAG_00117-t26_1	ERG24	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00118	CNAG_00118-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00119	CNAG_00119-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00120	CNAG_00120-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00121	CNAG_00121-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0005975, GO:0046168, GO:0006072, GO:0055114	carbohydrate metabolic process, glycerol-3-phosphate catabolic process, glycerol-3-phosphate metabolic process, oxidation-reduction process	
CNAG_00122	CNAG_00122-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0016052, GO:0005975	carbohydrate catabolic process, carbohydrate metabolic process	
CNAG_00123	CNAG_00123-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055114	oxidation-reduction process	
CNAG_00124	CNAG_00124-t26_1	CAS32	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00125	CNAG_00125-t26_1	CRG1	mating, pathogenesis	GO:0007618, GO:0009405	N/A	C. neoformans var. grubii H99	GO:0035556, GO:0038032	intracellular signal transduction, termination of G-protein coupled receptor signaling pathway	
CNAG_00126	CNAG_00126-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0008152	metabolic process	
CNAG_00127	CNAG_00127-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00128	CNAG_00128-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00129	CNAG_00129-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00130	CNAG_00130-t26_1	RCK2	response to fungicide	GO:0060992	N/A	C. neoformans var. grubii H99	GO:0006468	protein phosphorylation	
CNAG_00131	CNAG_00131-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055114	oxidation-reduction process	
CNAG_00132	CNAG_00132-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00132	CNAG_00132-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00133	CNAG_00133-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006355	regulation of transcription, DNA-templated	
CNAG_00134	CNAG_00134-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00135	CNAG_00135-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00136	CNAG_00136-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006464	cellular protein modification process	
CNAG_00137	CNAG_00137-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00138	CNAG_00138-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00139	CNAG_00139-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00140	CNAG_00140-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00141	CNAG_00141-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00142	CNAG_00142-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00143	CNAG_00143-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006164, GO:0006418	purine nucleotide biosynthetic process, tRNA aminoacylation for protein translation	
CNAG_00144	CNAG_00144-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00144	CNAG_00144-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00145	CNAG_00145-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00146	CNAG_00146-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00147	CNAG_00147-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0000398	mRNA splicing, via spliceosome	
CNAG_00148	CNAG_00148-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00149	CNAG_00149-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00150	CNAG_00150-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006508	proteolysis	
CNAG_00151	CNAG_00151-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00152	CNAG_00152-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00153	CNAG_00153-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00153	CNAG_00153-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00154	CNAG_00154-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0055114	oxidation-reduction process	
CNAG_00155	CNAG_00155-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00156	CNAG_00156-t26_1	SP1	capsule organization, fungal-type cell wall organization, pathogenesis	GO:0045230, GO:0031505, GO:0009405	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00156	CNAG_00156-t26_2	SP1	capsule organization, fungal-type cell wall organization, pathogenesis	GO:0045230, GO:0031505, GO:0009405	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00157	CNAG_00157-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00158	CNAG_00158-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00159	CNAG_00159-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00160	CNAG_00160-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0009264	deoxyribonucleotide catabolic process	
CNAG_00161	CNAG_00161-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00162	CNAG_00162-t26_1	AOX1	pathogenesis	GO:0009405	N/A	C. neoformans var. grubii H99	GO:0055114	oxidation-reduction process	
CNAG_00163	CNAG_00163-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00163	CNAG_00163-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00164	CNAG_00164-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00165	CNAG_00165-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0009116	nucleoside metabolic process	
CNAG_00166	CNAG_00166-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00167	CNAG_00167-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00171	CNAG_00171-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00172	CNAG_00172-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0007018	microtubule-based movement	
CNAG_00173	CNAG_00173-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00174	CNAG_00174-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00175	CNAG_00175-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00176	CNAG_00176-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0008152	metabolic process	
CNAG_00176	CNAG_00176-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0008152	metabolic process	
CNAG_00177	CNAG_00177-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00178	CNAG_00178-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006281	DNA repair	
CNAG_00179	CNAG_00179-t26_1	GPA2	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0007186, GO:0007165	G-protein coupled receptor signaling pathway, signal transduction	
CNAG_00179	CNAG_00179-t26_2	GPA2	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0007186, GO:0007165	G-protein coupled receptor signaling pathway, signal transduction	
CNAG_00180	CNAG_00180-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006511	ubiquitin-dependent protein catabolic process	
CNAG_00181	CNAG_00181-t26_1	FYV10	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00182	CNAG_00182-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00182	CNAG_00182-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00183	CNAG_00183-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	
CNAG_00183	CNAG_00183-t26_2	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	
CNAG_00184	CNAG_00184-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00185	CNAG_00185-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00186	CNAG_00186-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00187	CNAG_00187-t26_1	UBP16	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006511	ubiquitin-dependent protein catabolic process	
CNAG_00188	CNAG_00188-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00189	CNAG_00189-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00190	CNAG_00190-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00191	CNAG_00191-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
CNAG_00192	CNAG_00192-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	GO:0006355	regulation of transcription, DNA-templated	
CNAG_00193	CNAG_00193-t26_1	GAT1	capsule organization, mating, melanin biosynthetic process, nitrogen utilization, pathogenesis, response to heat	GO:0045230, GO:0007618, GO:0042438, GO:0019740, GO:0009405, GO:0009408	N/A	C. neoformans var. grubii H99	GO:0006355	regulation of transcription, DNA-templated	
CNAG_00194	CNAG_00194-t26_1	N/A	N/A	N/A	N/A	C. neoformans var. grubii H99	N/A	N/A	
